,movieId,title,genres,genres1,genres2,genres3,genres4,genres5,genres6,genres7,genres8,genres9,genres10,Year_release,imdbId,tmdbId
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,Adventure,Animation,Children,Comedy,Fantasy,,,,,,1995,114709,862.0
1,2,Jumanji (1995),Adventure|Children|Fantasy,Adventure,Children,Fantasy,,,,,,,,1995,113497,8844.0
2,3,Grumpier Old Men (1995),Comedy|Romance,Comedy,Romance,,,,,,,,,1995,113228,15602.0
3,4,Waiting to Exhale (1995),Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,1995,114885,31357.0
4,5,Father of the Bride Part II (1995),Comedy,Comedy,,,,,,,,,,1995,113041,11862.0
5,6,Heat (1995),Action|Crime|Thriller,Action,Crime,Thriller,,,,,,,,1995,113277,949.0
6,7,Sabrina (1995),Comedy|Romance,Comedy,Romance,,,,,,,,,1995,114319,11860.0
7,8,Tom and Huck (1995),Adventure|Children,Adventure,Children,,,,,,,,,1995,112302,45325.0
8,9,Sudden Death (1995),Action,Action,,,,,,,,,,1995,114576,9091.0
9,10,GoldenEye (1995),Action|Adventure|Thriller,Action,Adventure,Thriller,,,,,,,,1995,113189,710.0
10,11,"American President, The (1995)",Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,1995,112346,9087.0
11,12,Dracula: Dead and Loving It (1995),Comedy|Horror,Comedy,Horror,,,,,,,,,1995,112896,12110.0
12,13,Balto (1995),Adventure|Animation|Children,Adventure,Animation,Children,,,,,,,,1995,112453,21032.0
13,14,Nixon (1995),Drama,Drama,,,,,,,,,,1995,113987,10858.0
14,15,Cutthroat Island (1995),Action|Adventure|Romance,Action,Adventure,Romance,,,,,,,,1995,112760,1408.0
15,16,Casino (1995),Crime|Drama,Crime,Drama,,,,,,,,,1995,112641,524.0
16,17,Sense and Sensibility (1995),Drama|Romance,Drama,Romance,,,,,,,,,1995,114388,4584.0
17,18,Four Rooms (1995),Comedy,Comedy,,,,,,,,,,1995,113101,5.0
18,19,Ace Ventura: When Nature Calls (1995),Comedy,Comedy,,,,,,,,,,1995,112281,9273.0
19,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,Action,Comedy,Crime,Drama,Thriller,,,,,,1995,113845,11517.0
20,21,Get Shorty (1995),Comedy|Crime|Thriller,Comedy,Crime,Thriller,,,,,,,,1995,113161,8012.0
21,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Crime,Drama,Horror,Mystery,Thriller,,,,,,1995,112722,1710.0
22,23,Assassins (1995),Action|Crime|Thriller,Action,Crime,Thriller,,,,,,,,1995,112401,9691.0
23,24,Powder (1995),Drama|Sci-Fi,Drama,Sci-Fi,,,,,,,,,1995,114168,12665.0
24,25,Leaving Las Vegas (1995),Drama|Romance,Drama,Romance,,,,,,,,,1995,113627,451.0
25,26,Othello (1995),Drama,Drama,,,,,,,,,,1995,114057,16420.0
26,27,Now and Then (1995),Children|Drama,Children,Drama,,,,,,,,,1995,114011,9263.0
27,28,Persuasion (1995),Drama|Romance,Drama,Romance,,,,,,,,,1995,114117,17015.0
28,29,"City of Lost Children, The (Cit̩ des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,Adventure,Drama,Fantasy,Mystery,Sci-Fi,,,,,,1995,112682,902.0
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,Crime,Drama,,,,,,,,,1995,115012,37557.0
30,31,Dangerous Minds (1995),Drama,Drama,,,,,,,,,,1995,112792,9909.0
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,Mystery,Sci-Fi,Thriller,,,,,,,,1995,114746,63.0
32,34,Babe (1995),Children|Drama,Children,Drama,,,,,,,,,1995,112431,9598.0
33,35,Carrington (1995),Drama|Romance,Drama,Romance,,,,,,,,,1995,112637,47018.0
34,36,Dead Man Walking (1995),Crime|Drama,Crime,Drama,,,,,,,,,1995,112818,687.0
35,37,Across the Sea of Time (1995),Documentary|IMAX,Documentary,IMAX,,,,,,,,,1995,112286,139405.0
36,38,It Takes Two (1995),Children|Comedy,Children,Comedy,,,,,,,,,1995,113442,33689.0
37,39,Clueless (1995),Comedy|Romance,Comedy,Romance,,,,,,,,,1995,112697,9603.0
38,40,"Cry, the Beloved Country (1995)",Drama,Drama,,,,,,,,,,1995,112749,34615.0
39,41,Richard III (1995),Drama|War,Drama,War,,,,,,,,,1995,114279,31174.0
40,42,Dead Presidents (1995),Action|Crime|Drama,Action,Crime,Drama,,,,,,,,1995,112819,11443.0
41,43,Restoration (1995),Drama,Drama,,,,,,,,,,1995,114272,35196.0
42,44,Mortal Kombat (1995),Action|Adventure|Fantasy,Action,Adventure,Fantasy,,,,,,,,1995,113855,9312.0
43,45,To Die For (1995),Comedy|Drama|Thriller,Comedy,Drama,Thriller,,,,,,,,1995,114681,577.0
44,46,How to Make an American Quilt (1995),Drama|Romance,Drama,Romance,,,,,,,,,1995,113347,11861.0
45,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,Mystery,Thriller,,,,,,,,,1995,114369,807.0
46,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,Animation,Children,Drama,Musical,Romance,,,,,,1995,114148,10530.0
47,49,When Night Is Falling (1995),Drama|Romance,Drama,Romance,,,,,,,,,1995,114916,8391.0
48,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,Crime,Mystery,Thriller,,,,,,,,1995,114814,629.0
49,52,Mighty Aphrodite (1995),Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,1995,113819,11448.0
50,53,Lamerica (1994),Adventure|Drama,Adventure,Drama,,,,,,,,,1994,110299,49133.0
51,54,"Big Green, The (1995)",Children|Comedy,Children,Comedy,,,,,,,,,1995,112499,26441.0
52,55,Georgia (1995),Drama,Drama,,,,,,,,,,1995,113158,97406.0
53,57,Home for the Holidays (1995),Drama,Drama,,,,,,,,,,1995,113321,9089.0
54,58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,1994,110877,11010.0
55,59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,Drama,Mystery,,,,,,,,,1995,112714,99040.0
56,60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,Adventure,Children,Fantasy,,,,,,,,1995,113419,11359.0
57,61,Eye for an Eye (1996),Drama|Thriller,Drama,Thriller,,,,,,,,,1996,116260,17182.0
58,62,Mr. Holland's Opus (1995),Drama,Drama,,,,,,,,,,1995,113862,2054.0
59,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,Comedy,Crime,,,,,,,,,1996,116126,10607.0
60,64,Two if by Sea (1996),Comedy|Romance,Comedy,Romance,,,,,,,,,1996,118002,19760.0
61,65,Bio-Dome (1996),Comedy,Comedy,,,,,,,,,,1996,115683,9536.0
62,66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,Action,Sci-Fi,Thriller,,,,,,,,1996,116839,11525.0
63,68,French Twist (Gazon maudit) (1995),Comedy|Romance,Comedy,Romance,,,,,,,,,1995,113149,4482.0
64,69,Friday (1995),Comedy,Comedy,,,,,,,,,,1995,113118,10634.0
65,70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,Action,Comedy,Horror,Thriller,,,,,,,1996,116367,755.0
66,71,Fair Game (1995),Action,Action,,,,,,,,,,1995,113010,11859.0
67,72,Kicking and Screaming (1995),Comedy|Drama,Comedy,Drama,,,,,,,,,1995,113537,28387.0
68,73,"Mis̩rables, Les (1995)",Drama|War,Drama,War,,,,,,,,,1995,113828,48750.0
69,74,Bed of Roses (1996),Drama|Romance,Drama,Romance,,,,,,,,,1996,115644,20927.0
70,76,Screamers (1995),Action|Sci-Fi|Thriller,Action,Sci-Fi,Thriller,,,,,,,,1995,114367,9102.0
71,77,Nico Icon (1995),Documentary,Documentary,,,,,,,,,,1995,113973,124626.0
72,78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,Action,Crime,Drama,Thriller,,,,,,,1995,112744,27526.0
73,79,"Juror, The (1996)",Drama|Thriller,Drama,Thriller,,,,,,,,,1996,116731,9623.0
74,80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,Children,Drama,,,,,,,,,1995,112445,46785.0
75,81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,Crime,Drama,Romance,,,,,,,,1995,114660,400.0
76,82,Antonia's Line (Antonia) (1995),Comedy|Drama,Comedy,Drama,,,,,,,,,1995,112379,880.0
77,83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,Drama,Romance,,,,,,,,,1995,114039,146599.0
